21,08.30 - 09.00,Rainer Mankel,25+5,ATLAS and CMS prospects for Higgs measurements and searches at the high luminosity LHC
21,09.00 - 09.30,Radim Filip,25+5,Highly nonlinear quantum optics and optomechanics
21,09.00 - 09.30,Paul Saffin,25+5,Fermions from Oscillons
21,09.00 - 09.30,Marek Karliner,25+5,Prediction and discovery of doubly-heavy baryon
21,09.30 - 10.00,Christian Ralf Müller,25+5,From Quantum-Limited Measurements towards Quantum Squeezing Detection over Satellite Links
21,09.30 - 10.00,Igor Mishustin,25+5,Self-consistent calculations of supernova matter
21,09.30 - 10.00,Torsten Dahms,25+5,ALICE Overview
21,10.00 - 10.30,Ryuji Takeishi,25+5,Observation of ultra-high energy cosmic rays with the Telescope Array experiment
21,10.00 - 10.30,Silvio Donato,25+5,Overview talk on trigger performances (CMS)
21,10.00 - 10.30,Jaroslav Bielcik,25+5,Overview of recent heavy-flavor and jet results from STAR
21,12.00 - 12.30,Dominik Werthmüller,25+5,Exotic Baryons at MAMI
21,12.00 - 12.20,Vladimir Shevchenko,15+5,Quantum measurements in finite space-time domain
21,12.00 - 12.50,Nicolas Berger,45+5,Lecture on Statistical analysis methods by ATLAS
21,12.00 - 12.30,Kostas Glampedakis,25+5,Observationally constraining gravitational wave emission from short gamma-ray burst remnants
21,12.00 - 12.30,Vladimir Zelevinsky,25+5,Introduction
21,12.20 - 12.40,Aurelian Isar,15+5,Dynamics of quantum correlations in two-mode Gaussian open quantum systems
21,12.30 - 13.00,Georgy Burde,25+5,Relativity with a preferred frame. Astrophysical and cosmological implications
21,12.30 - 13.00,Peter Ring,25+5,Covariant density functionals in nuclear physics and their microscopic origin.
21,12.30 - 13.00,Johan Messchendorp,25+5,Prospects for Exotic Hadron Spectroscopy at PANDA
21,12.40 - 13.00,Mihaescu Tatiana,15+5,Gaussian quantum steering of two bosonic modes in a squeezed thermal environment
21,13.30 - 14.00,Fabio Cappella,25+5,Search for rare processes with DAMA experimental set-ups
21,13.30 - 14.00,Thomas Josua Mettler,25+5,The Short Baseline Neutrino Detector at Fermilab
21,13.30 - 14.00,Michael Urin,25+5,DAMPING OF SIMPLE MODES OF HIGH-ENERGY NUCLEAR EXCITATIONS
21,13.30 - 14.00,Ladislav Mista,25+5,Gaussian intrinsic entanglement
21,13.30 - 14.10,Jianbin Jiao,35+5,light exotic hadrons at BESIII
21,14.00 - 14.30,Antonio Sbrizzi,25+5,The LUCID-2 detector
21,14.00 - 14.30,Petros Wallden,25+5,Relativistic and Device Independent Verifiable Quantum Computation
21,14.00 - 14.30,Elena Litvinova,25+5,Isospin dynamics in nuclear structure
21,14.10 - 14.40,Hideko Nagahiro,25+5,Structure of excited charmed baryons studied by pion emission decays
21,14.30 - 15.00,Oleg Sushkov,25+5,Bose condensation of triplons in quantum magnets
21,14.30 - 14.50,Matthew Thornton,15+5,Gigahertz quantum signatures compatible with telecommunication technologies
21,14.30 - 15.00,Murat Ali Guler,25+5,Directional dark matter search with nuclear emulsion
21,14.40 - 15.00,Atsushi Hosaka,15+5,Heavy hadron production for the study of their structure
21,14.50 - 15.10,Tom Douce,15+5,Quantum advantage and fault tolerant universal quantum computing in continuous variables
21,15.00 - 15.40,H. Noumi,35+5,Strange and Charm Baryon Spectroscopy at J-PARC
21,15.00 - 15.50,Avshalom Elitzur,45+5,Would Nega-Particles Prove to be Essential Ingredients of Quantum Reality?
21,15.40 - 16.00,Milena Piotrowska,15+5,Excited vector mesons: phenomenology and predictions for a yet unknown vector $\bar{s}s$ state with a mass of about 1.93 GeV
21,16.30 - 17.30,Frederic Lassiaille,55+5,Surrounding matter theory
21,16.30 - 17.30,HEXI SHI,55+5,Search for the violation of Pauli principle at LNGS - first physics result of VIP2 experiment
21,16.30 - 17.00,Andre Sopczak,25+5,ttH Coupling Measurement with the ATLAS Detector at the LHC
21,16.30 - 17.30,Wim De Boer,55+5,Molecular Clouds as the Origin of the Gamma-Ray GeV excess
21,16.30 - 17.30,marjan abbasipour,55+5,Modification of Material Surface by Plasma
21,16.30 - 17.30,Igor Bulyzhenkov,55+5,Gravity until equipartition of relativistic kinetic energies.
21,16.30 - 17.30,Timur Kamalov,55+5,Quantum Correction for Newton’s Law of Motion
21,16.30 - 17.30,CHHANDA SAMANTA,55+5,A-dependence of $\Lambda\Lambda$-bond and charge symmetry energies
21,16.30 - 17.30,shihan sajeed,55+5,Insecurity of detector-device-independent quantum key distribution
21,16.30 - 17.30,"Luigi Marchese, Luigi Marchese",55+5,muon performance
21,16.30 - 17.30,Alessandro Romito,55+5,Thermodynamics along individual trajectories of a quantum bit
21,16.30 - 17.30,Jorge Bernal Arroyo,55+5,New Mathematical Formulation of the Correspondence Principle
21,16.30 - 17.30,Gopinath Kamath,55+5,Cylindrical symmetry: II. The Green’s function in 3 + 1 dimensional curved space
21,16.30 - 17.30,Luis Gonzalez-Mestres,55+5,New particles and nonstandard new Physics
21,16.30 - 17.30,Valerio Mascagna,55+5,Experimental technique for $\mathrm{\bar{p}}$-nucleus annihilation cross section measurements at low energy
21,16.30 - 17.30,Luca Venturelli,55+5,Antiproton-nucleus annihilation cross section at low energy
21,16.30 - 17.30,Christian Farnese,55+5,The new front end and DAQ of the ICARUS detector
21,16.30 - 17.30,Ryan Parker,55+5,Hybrid Photonic Loss Resilient Entanglement Swapping
21,16.30 - 17.30,"Virendrasinh H. Kher, Nayneshkumar Devlani, Ajay Kumar Rai",55+5,Radiative transitions and the mixing parameters of the D meson
21,16.30 - 17.30,"Zalak Marfatia, Ajay Kumar Rai",55+5,Heavy baryon spectroscopy in Hypercentral constituent quark model
21,16.30 - 17.30,Adam Balcerzak,55+5,Varying constants quantum cosmologies
21,16.30 - 17.30,Yifan Cheng,55+5,Possible Approach to Dynamical Supersymmetry Breaking via Nambu--Jona-Lasinio Model
21,16.30 - 17.30,Georgios Karathanasis,55+5,The new CMS Barrel Muon Track Finder
21,16.30 - 17.30,Alexander Joan Cristo Juárez-Domínguez,55+5,Quantization Aspects of a Hypercomplex Field
21,16.30 - 17.30,Swagata Mukherjee,55+5,Search for R-parity violating supersymmetry and Quantum black-holes in e+mu final state in CMS
21,16.30 - 17.30,Ömer Bayraktar,55+5,Experimental Relativistic Quantum Information with a Geostationary Satellite
21,16.30 - 17.30,Andrea Lavagno,55+5,Nuclear phase transition and thermodynamic instabilities in dense nuclear matter
21,16.30 - 17.30,Mohammad M. Qaemmaqami,55+5,On the Butterfly Effect in 3D Gravity
21,16.30 - 17.30,Anna Stakia,55+5,"Search for supersymmetry in events with one lepton, multiple jets and missing transverse momentum in proton-proton collisions at √s = 13 TeV"
21,16.30 - 17.30,Anna Stakia,55+5,Jet-flavour tagging using deep-learning in the CMS experiment
